id,class_code,class_title,division_level,division_text,rule_type,rule_code,rule_text,order_in_class
H_DIV1_1,H,Precast concrete,1,Units,,,,1
H_DIV1_1,H,Precast concrete,1,Units,,,,1
A_DIV1_1,A,General items,1,Method-related charges,,,,1
B_M2,B,Ground investigation,,,definition,M2,Professional services,1
B_M3,B,Ground investigation,,,definition,M3,The hours measured shall be records of time spent,2
E_DIV2_1,E,Earthworks,2,Artificial hard material exposed,,,,1
E_DIV1_2,E,Earthworks,1,Excavation ancillaries,,,,2
E_M1,E,Earthworks,,,measurement,M1,Formwork sha It be measu red D1 Plane formwork shall be A1 Formwork left in shall be so,3
E_M2,E,Earthworks,,,measurement,M2,"Formwork shall not be surfaces shall so state, except",4
E_A3,E,Earthworks,,,measurement,A3,Item descriptions for,5
E_M3,E,Earthworks,,,measurement,M3,Formwork to upper surfaces maximum and minimum radii,6
E_M4,E,Earthworks,,,measurement,M4,"Formwork for the surfaces of measured perpendicularly to the intrusions, shall state the principal",7
E_D3,E,Earthworks,,,measurement,D3,shall be measured as set out in D4 Nibs and external splays not location or other unique identifying,8
E_M5,E,Earthworks,,,measurement,M5,Formwork for the surfaces of,9
E_M6,E,Earthworks,,,measurement,M6,The area of formwork sectional area shall be classed as,10
E_M7,E,Earthworks,,,measurement,M7,The mass of steel D6 The nominal size stated in C1 Items for re/nfbrcemenrshall A7 Item descriptions for bar,11
E_M8,E,Earthworks,,,measurement,M8,The mass of reinforcement shall be classed as special joints. jointsshaU state the type of joint,12
E_A9,E,Earthworks,,,measurement,A9,Item descriptions for steel,13
E_M9,E,Earthworks,,,measurement,M9,The area of additional fabric fabric to BS4483 shall state the,14
E_A10,E,Earthworks,,,measurement,A10,Item descriptions for fabric,15
I_M1,I,Pipework — pipes,,,measurement,M1,The Commencing Surface D1 Pipes not in trenches shall C1 Items for pipes sha II be A1 The location or type of,1
I_M2,I,Pipework — pipes,,,measurement,M2,Backfilling of trenches shall and pipes laid within volumes,2
I_M3,I,Pipework — pipes,,,measurement,M3,Lengths of pipes shall be to the extent that such work is,3
I_A4,I,Pipework — pipes,,,measurement,A4,The Commencing Surface,4
I_M4,I,Pipework — pipes,,,measurement,M4,Additional items shall be,5
I_A5,I,Pipework — pipes,,,measurement,A5,Where more than one pipe is,6
I_M5,I,Pipework — pipes,,,measurement,M5,Lsngths of pipes entering,7
I_A6,I,Pipework — pipes,,,measurement,A6,Trench depths exceeding,8
I_A7,I,Pipework — pipes,,,measurement,A7,Item descriptions shall,9
K_DIV1_1,K,Pipework — manholes and ancillaries,1,Manholes,,,,1
L_M2,L,Pipework — supports and protection,,,measurement,M2,Work in this class associated,1
L_M3,L,Pipework — supports and protection,,,measurement,M3,Breaking up and reinstate,2
L_M4,L,Pipework — supports and protection,,,measurement,M4,The volume of extras to Dl The nominal trench width if A1 Item descriptions shall,3
L_M5,L,Pipework — supports and protection,,,measurement,M5,No volume of extras to distance where it exceeds 1 m.,4
L_M6,L,Pipework — supports and protection,,,measurement,M6,The volume of extras to,5
L_M7,L,Pipework — supports and protection,,,measurement,M7,Backfilling above the Final,6
L_M8,L,Pipework — supports and protection,,,measurement,M8,"An isolated volume of rock,",7
O_DIV1_1,O,Timber,1,Fittings,,,,1
P_M6,P,Piles,,,measurement,M6,Each group of Items for D6 The lengths of interlocking,1
