id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
A_HEADER,A,General Rules,,,,,General Rules,section_header,1
A1,A,General Rules,,A1,,Bills of Quantities,Bills of Quantities shall fully describe and accurately represent the works to be executed. Work which,clause,2
A2,A,General Rules,,A2,,Measurements,(a) Work shall be measured net as fixed in position and each measurement shall be taken to,clause,3
A3,A,General Rules,,A3,,Description,(a) The order of stating dimensions in descriptions shall be consistent and generally in the,clause,4
A4,A,General Rules,,A4,,Sizes of pipes or the,"Where this document requires the sizes of pipes and tubes (measured internally) and bars, cables,",clause,5
A5,A,General Rules,,A5,,Quantities,"(a) Where the unit of billing is the metre, kilogram or litre quantities shall be billed to the",clause,6
A6,A,General Rules,,A6,,Provisional or prime,Where this document requires provisional or prime cost sums to be given in accordance with this,clause,7
A7,A,General Rules,,A7,,Work under water,"Work executed in or under water shall be so described stating whether canal, river or sea water and",clause,8
A8,A,General Rules,,A8,,Work in compressed,Work executed in compressed air shall be so described stating the pressure and the methods,clause,9
A9,A,General Rules,,A9,,Dayworks,(a) The term ’day work’ shall mean work for which the contractor is to be paid on the basis of,clause,10
A10,A,General Rules,,A10,,Departures from the,No departure shall be made from this Standard Method of Measurement except to meet the,clause,11
B_HEADER,B,Preliminaries,,,,,Preliminaries,section_header,1
B_SUB_2,B,Preliminaries,Preliminary particulars,,,,Preliminary particulars,subsection,2
B_SUB_3,B,Preliminaries,Contracts particulars,,,,Contracts particulars,subsection,3
B_SUB_4,B,Preliminaries,General matters,,,,General matters,subsection,4
B_SUB_5,B,Preliminaries,Temporary works,,,,Temporary works,subsection,5
B_SUB_6,B,Preliminaries,Works by public bodies,,,,Works by public bodies,subsection,6
B_SUB_7,B,Preliminaries,Works by nominated sub-contractors,,,,Works by nominated sub-contractors,subsection,7
B_SUB_8,B,Preliminaries,Goods and materials from nominated suppliers,,,,Goods and materials from nominated suppliers,subsection,8
B_SUB_9,B,Preliminaries,Protecting and cleaning the works,,,,Protecting and cleaning the works,subsection,9
B_SUB_10,B,Preliminaries,Contingencies,,,,Contingencies,subsection,10
B1,B,Preliminaries,,B1,,Name of Parties,"The names and addresses of the employer, the Architect, the Engineers, and the Quantity Surveyors",clause,11
B2,B,Preliminaries,,B2,,Description of site,(a) The location of the site shall be described stating the mode of access. Attention shall be,clause,12
B3,B,Preliminaries,,B3,,Description of the,(a) A general description of the works shall be given,clause,13
B4,B,Preliminaries,,B4,,Contract particulars,(a) Particulars of the form and type of contract shall be given,clause,14
B5,B,Preliminaries,,B5,,Items for convenience,"For convenience in pricing, items for the following shall given where applicable unless they are",clause,15
B4,B,Preliminaries,,B4,,in pricing covered by the schedules given in accordance with Clause,hereof.,clause,16
B6,B,Preliminaries,,B6,,Obligations imposed,Any obligation or restriction that may be imposed on the contractor by the employer in respect of,clause,17
B7,B,Preliminaries,,B7,,Water for the works,Water for the works and temporary arrangements for storing and distributing shall be given as an,clause,18
B8,B,Preliminaries,,B8,,Lighting and power for,Lighting and power for the works and temporary arrangements for distribution and for lighting of,clause,19
B9,B,Preliminaries,,B9,,Contractor’s liability,(a) The contractor’s liability for risk of injury to persons and property and of damage to,clause,20
B4,B,Preliminaries,,B4,,accordance with Clause,hereof.,clause,21
B4,B,Preliminaries,,B4,,by the schedules given in accordance with Clause,hereof.,clause,22
B4,B,Preliminaries,,B4,,with Clause,hereof.,clause,23
B10,B,Preliminaries,,B10,,Employers Liability,Where the cost of insuring any liability of the employer is required to be included in the contract sum,clause,24
B11,B,Preliminaries,,B11,,Temporary works,Clearing away temporary works and making good after shall be deemed to be included,clause,25
B12,B,Preliminaries,,B12,,Temporary roads,"Temporary roads, tracks, hard-standings, crossings and the like shall be given as an item stating",clause,26
B13,B,Preliminaries,,B13,,Temporary buildings,"(a) Temporary sheds, offices, messrooms, sanitary accommodation, and other temporary",clause,27
B14,B,Preliminaries,,B14,,Temporary,Temporary telephone facilities on the site shall be given as an item.,clause,28
B15,B,Preliminaries,,B15,,Temporary screens,Temporary screens and the like shall be given as an item stating the area and any requirements,clause,29
B16,B,Preliminaries,,B16,,Temporary hoardings,"(a) Temporary fencing, hoardings, fans, planked footways, guard-rails gantries and the like as",clause,30
B17,B,Preliminaries,,B17,,General scaffolding,General scaffolding for the works shall be given as an item,clause,31
B18,B,Preliminaries,,B18,,Dayworks,"(a) The cost of labour in dayworks shall be given as sum; alternatively, a schedule of the",clause,32
B19,B,Preliminaries,,B19,,Works by Public,Works which may only be carried out by a local authority or a public undertaking (e.g.,clause,33
B20,B,Preliminaries,,B20,,Works by nominated,(a) Works which are required to be carried out by a nominated sub-contractor shall be,clause,34
B21,B,Preliminaries,,B21,,Goods from,(a) Goods and materials which are required to be obtained from a nominated supplier,clause,35
B22,B,Preliminaries,,B22,,Protection of the,Protection of the works shall be given as an item covering all sections of the works,clause,36
B23,B,Preliminaries,,B23,,Removing rubbish and,Removing rubbish and debris and cleaning the works internally and externally shall be given as an,clause,37
