section_code,section_title,subsection_title,clause_ref,subclause_ref,clause_text,clause_type
A,General Rules,,,,General Rules,section_header
A,General Rules,,,,Bills of Quantities A1 Bills of Quantities shall fully describe and accurately represent the works to be executed. Work which,note
A,General Rules,,,,cannot be measured accurately shall be described as provision or given in a bill of approximate,note
A,General Rules,,,,quantities.,note
A,General Rules,,,,Measurements A2 (a) Work shall be measured net as fixed in position and each measurement shall be taken to,note
A,General Rules,,,,the nearest 10 mm (i.e. 5 millimeters and over shall be regarded as 10 millimeters less than,note
A,General Rules,,,,5 millimeters shall be disregarded). This rule shall not apply to any dimensions stated in,note
A,General Rules,,,,descriptions,note
A,General Rules,,,,(b) Where minimum deductions of voids are dealt with in this document they shall refer only,note
A,General Rules,,,,to openings or wants which are wholly within the boundaries of measured areas.,note
A,General Rules,,,,Openings or voids/holes which are at the boundaries of measured areas shall always be,note
A,General Rules,,,,the subject of deduction irrespective of size.,note
A,General Rules,,,,Description A3 (a) The order of stating dimensions in descriptions shall be consistent and generally in the,note
A,General Rules,,,,"sequence of length, width and height. Where that sequence is not appropriate or where",note
A,General Rules,,,,"ambiguity could arise, the dimensions shall be specifically identified.",note
A,General Rules,,,,"(b) Unless otherwise specifically stated in the bill, or herein, the following shall be deemed to",note
A,General Rules,,,,be included with all items:i. Labour and call costs in connection therewith,note
A,General Rules,,,,"ii. Materials, goods and all costs in connection therewith (e.g.",note
A,General Rules,,,,"conveyance, delivery; unloading; storing; returning packings; handling;",note
A,General Rules,,,,hoisting; lowering).,note
A,General Rules,,,,iii. Fitting and fixing materials and goods in position,note
A,General Rules,,,,iv. Use of plants and machinery,note
A,General Rules,,,,v. Waste of materials.,note
A,General Rules,,,,vi. Square cutting.,note
A,General Rules,,,,"vii. Establishment charges, overhead charges and profit",note
A,General Rules,,,,viii. All taxes and duties,note
A,General Rules,,,,(c) Junctions between straight and curved work shall in all cases be deemed to be included,note
A,General Rules,,,,with the work in which they occur.,note
A,General Rules,,,,(d) Notwithstanding the provisions in this document for labours to be given as linear items,note
A,General Rules,,,,such labours may be given in the descriptions of any linear items of work in which they,note
A,General Rules,,,,occur.,note
A,General Rules,,,,"(e) Notwithstanding the provisions in this document for labours to be enumerated, such",note
A,General Rules,,,,labour may be given in the description of any enumerated item of work on which they,note
A,General Rules,,,,occur.,note
A,General Rules,,,,(d) Labours on existing work shall be so described,note
A,General Rules,,,,"Sizes of pipes or the A4 Where this document requires the sizes of pipes and tubes (measured internally) and bars, cables,",note
A,General Rules,,,,"like conduits, standards and the like (measured externally) to be stated, the actual size of the pipe,",note
A,General Rules,,,,"tube, bar or the like shall be stated.",note
A,General Rules,,,,"Quantities A5 (a) Where the unit of billing is the metre, kilogram or litre quantities shall be billed to the",note
A,General Rules,,,,nearest whole unit. Fractions of a unit less than half shall be disregarded and all other,note
A,General Rules,,,,fractions shall be regarded as whole units.,note
A,General Rules,,,,"(b) Where the Bills of Quantities is subject to use of more than two identical units repeated,",note
A,General Rules,,,,then the unit of billing shall be to the nearest two decimal places.,note
A,General Rules,,,,(c) Where application of this Clause would cause an entire item to be eliminated such item,note
A,General Rules,,,,shall be enumerated stating the size or weight as appropriate,note
A,General Rules,,,,Provisional or prime A6 Where this document requires provisional or prime cost sums to be given in accordance with this,note
A,General Rules,,,,4,note
A,General Rules,,,,"cost sums Clause, the choice of term shall be made in conformity with the following definitions unless",note
A,General Rules,,,,"otherwise provided in the conditions of contract:i. The term ""provisional sum"" shall mean a sum provided for work or for costs",note
A,General Rules,,,,"which cannot be entirely foreseen, defined or detailed at the time the tendering",note
A,General Rules,,,,documents are issued.,note
A,General Rules,,,,"ii. The term ""prime cost sum"" shall mean a sum provided for work or services to",note
A,General Rules,,,,"be executed by a nominated sub-contractor, a statutory authority or a public",note
A,General Rules,,,,undertaking or for materials or goods to be obtained from a nominated,note
A,General Rules,,,,supplier. Such sum shall be deemed to be exclusive of any profit and any,note
A,General Rules,,,,attendance required by the general contractor and provision shall be made for,note
A,General Rules,,,,the addition thereof,note
A,General Rules,,,,"Work under water A7 Work executed in or under water shall be so described stating whether canal, river or sea water and",note
A,General Rules,,,,(where applicable) the levels of high and low water.,note
A,General Rules,,,,Work in compressed A8 Work executed in compressed air shall be so described stating the pressure and the methods,note
A,General Rules,,,,air of entry and exit.,note
A,General Rules,,,,Dayworks A9 (a) The term ’day work’ shall mean work for which the contractor is to be paid on the basis of,note
A,General Rules,,,,"the cost of materials, labour and plant plus an agreed percentage for overheads and profit.",note
A,General Rules,,,,(b) Works shall be quantified as ’dayworks’ where the works be measured in the normal way,note
A,General Rules,,,,stipulated in this document. Such works shall be quantified as provided in clause 818,note
A,General Rules,,,,hereof.,note
A,General Rules,,,,Departures from the A10 No departure shall be made from this Standard Method of Measurement except to meet the,note
A,General Rules,,,,"Standard Method of requirements of exceptional circumstances. In such cases, special methods may be adopted provided",note
A,General Rules,,,,Measurement the principles laid down herein are observed. The rules of measurement adopted in these,note
A,General Rules,,,,circumstances shall be clearly stated in the bills of quantities.,note
A,General Rules,,,,5,note
B,Preliminaries,,,,Preliminaries,section_header
B,Preliminaries,Preliminary particulars,,,Preliminary particulars,subsection
B,Preliminaries,Preliminary particulars,,,"Name of Parties B1 The names and addresses of the employer, the Architect, the Engineers, and the Quantity Surveyors",note
B,Preliminaries,Preliminary particulars,,,shall be stated.,note
B,Preliminaries,Preliminary particulars,,,Description of site B2 (a) The location of the site shall be described stating the mode of access. Attention shall be,note
B,Preliminaries,Preliminary particulars,,,drawn to any limitations of working space and to any adjacent or abutting buildings.,note
B,Preliminaries,Preliminary particulars,,,(b) Recommendations as to visiting the site and inspection of any trial holes shall be made,note
B,Preliminaries,Preliminary particulars,,,stating where the keys may be obtained (if any required) and where the drawings and,note
B,Preliminaries,Preliminary particulars,,,other documents may be inspected.,note
B,Preliminaries,Preliminary particulars,,,(c) Where any restrictions are imposed on the use or disposal of any sand or gravel found,note
B,Preliminaries,Preliminary particulars,,,"on the site, particulars of the restrictions shall be given.",note
B,Preliminaries,Preliminary particulars,,,"(d) Where possession of the site will be given in sections, particulars shall be given.",note
B,Preliminaries,Preliminary particulars,,,Description of the B3 (a) A general description of the works shall be given,note
B,Preliminaries,Works by public bodies,,,Works by public bodies,subsection
B,Preliminaries,Works by public bodies,,,"(b) Where drawings are not supplied with the Bills the size of the building, the height",note
B,Preliminaries,Works by public bodies,,,above and below ground level and the number of storeys shall be given.,note
B,Preliminaries,Works by public bodies,,,(c) Where the works are required to be executed or completed in any specific order or in,note
B,Preliminaries,Works by public bodies,,,sections or phases particulars shall be given.,note
B,Preliminaries,Contracts particulars,,,Contracts particulars,subsection
B,Preliminaries,Contracts particulars,,,Contract particulars B4 (a) Particulars of the form and type of contract shall be given,note
B,Preliminaries,Contracts particulars,,,"(b) Where the conditions of contract are standard (i.e. printed and published for general use),",note
B,Preliminaries,Contracts particulars,,,particulars of the edition to be used shall be given and a schedule of the clause headings,note
B,Preliminaries,Contracts particulars,,,shall be set out in the bill.,note
B,Preliminaries,Contracts particulars,,,"(c) Where any other conditions of contract are used, a copy of the full conditions shall be",note
B,Preliminaries,Contracts particulars,,,supplied with the bill and a schedule of the clause headings shall be set out in the bill.,note
B,Preliminaries,Contracts particulars,,,"(d) Where there is an appendix to the condition of contract requiring insertions to be made, a",note
B,Preliminaries,Contracts particulars,,,schedule of the insertions shall be set out in the bill.,note
B,Preliminaries,General matters,,,General matters,subsection
B,Preliminaries,General matters,,,"Items for convenience B5 For convenience in pricing, items for the following shall given where applicable unless they are",note
B,Preliminaries,General matters,,,in pricing covered by the schedules given in accordance with Clause B4 hereof.,note
B,Preliminaries,General matters,,,"i. Plant, tools and vehicles",note
B,Preliminaries,General matters,,,"ii. Safety, health and welfare of work people.",note
B,Preliminaries,General matters,,,iii. Notice and fees to local authorities and public undertakings.,note
B,Preliminaries,General matters,,,iv. Setting out the works,note
B,Preliminaries,General matters,,,v. General foreman,note
B,Preliminaries,General matters,,,vi. National insurances and pensions for work people,note
B,Preliminaries,General matters,,,vii. Holidays for work people,note
B,Preliminaries,General matters,,,viii. Transport for work people,note
B,Preliminaries,General matters,,,"ix. Safeguarding the works, materials and plant against damage and theft.",note
B,Preliminaries,General matters,,,x. Maintenance of public and private roads.,note
B,Preliminaries,General matters,,,xi. Police regulations,note
B,Preliminaries,General matters,,,Obligations imposed B6 Any obligation or restriction that may be imposed on the contractor by the employer in respect of,note
B,Preliminaries,General matters,,,by Employer any matter not covered by any clause in the conditions of contract shall be given as an item stating,note
B,Preliminaries,General matters,,,the relevant particulars.,note
B,Preliminaries,General matters,,,Water for the works B7 Water for the works and temporary arrangements for storing and distributing shall be given as an,note
B,Preliminaries,General matters,,,"item. Where water will be supplied free of cost to the contractor, particulars shall be given as to the",note
B,Preliminaries,General matters,,,"available capacity, the source (e.g. public main; bore hole) and the location of the point of free",note
B,Preliminaries,General matters,,,supply.,note
B,Preliminaries,General matters,,,Lighting and power for B8 Lighting and power for the works and temporary arrangements for distribution and for lighting of,note
B,Preliminaries,General matters,,,works hoardings and the like shall be given as an item. Where electric current will be supplied free of cost to,note
B,Preliminaries,General matters,,,"the contractor particulars shall be given as to the available capacity for voltage, type of supply (e.g.,",note
B,Preliminaries,General matters,,,alternating; direct) and the location of the point of the free supply.,note
B,Preliminaries,General matters,,,6,note
B,Preliminaries,General matters,,,Contractor’s liability B9 (a) The contractor’s liability for risk of injury to persons and property and of damage to,note
B,Preliminaries,General matters,,,the works shall be given as an item unless it is covered by the schedules given in,note
B,Preliminaries,General matters,,,accordance with Clause B4 hereof.,note
B,Preliminaries,General matters,,,(b) Where the employer requires the contractor to effect insurance in respect of the,note
B,Preliminaries,General matters,,,"contractor’s liability for any such risk, the relevant particulars shall be given unless covered",note
B,Preliminaries,General matters,,,by the schedules given in accordance with Clause B4 hereof.,note
B,Preliminaries,General matters,,,"(c) Where the employer intends to relieve the contractor of liability for any such risk, the",note
B,Preliminaries,General matters,,,relevant particulars shall be given unless covered by the schedules given in accordance,note
B,Preliminaries,General matters,,,with Clause B4 hereof.,note
B,Preliminaries,General matters,,,Employers Liability B10 Where the cost of insuring any liability of the employer is required to be included in the contract sum,note
B,Preliminaries,General matters,,,such cost shall be given as a provisional or prime cost sum as Clause A7 hereof,note
B,Preliminaries,Temporary works,,,Temporary works,subsection
B,Preliminaries,Temporary works,,,Temporary works,subsection
B,Preliminaries,Temporary works,,,generally with the items.,note
B,Preliminaries,Temporary works,,,"Temporary roads B12 Temporary roads, tracks, hard-standings, crossings and the like shall be given as an item stating",note
B,Preliminaries,Temporary works,,,the relevant particulars.,note
B,Preliminaries,Temporary works,,,"Temporary buildings B13 (a) Temporary sheds, offices, messrooms, sanitary accommodation, and other temporary",note
B,Preliminaries,Temporary works,,,"buildings for the use of the contractor shall be given as an item. Lighting, furniture,",note
B,Preliminaries,Temporary works,,,equipment and attendance shall be deemed to be included with the item.,note
B,Preliminaries,Temporary works,,,"(b) Temporary offices for the use of the architect, the engineers, the quantity surveyor,",note
B,Preliminaries,Temporary works,,,the clerk of works and any other person acting on behalf of the employer shall be,note
B,Preliminaries,Temporary works,,,"given as an item stating the floor area required. Lighting, furniture, equipment and",note
B,Preliminaries,Temporary works,,,attendance shall be given in the description.,note
B,Preliminaries,Temporary works,,,Temporary B14 Temporary telephone facilities on the site shall be given as an item.,note
B,Preliminaries,Temporary works,,,telephones,note
B,Preliminaries,Temporary works,,,Temporary screens B15 Temporary screens and the like shall be given as an item stating the area and any requirements,note
B,Preliminaries,Temporary works,,,regarding construction. Doors and windows in screens shall be given in the description.,note
B,Preliminaries,Temporary works,,,"Temporary hoardings B16 (a) Temporary fencing, hoardings, fans, planked footways, guard-rails gantries and the like as",note
B,Preliminaries,Temporary works,,,"and gantries may be necessary for protecting the public, for the proper execution of the works and for",note
B,Preliminaries,Temporary works,,,meeting the requirements of any local or other authority shall be given as an item stating,note
B,Preliminaries,Temporary works,,,"any conditions imposed by the employer regarding such matters as construction, access,",note
B,Preliminaries,Temporary works,,,decoration and advertisement.,note
