id,section_code,section_title,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type
A1,A,,,A1,,Bills of Quantities,Bills of Quantities shall fully describe and accurately represent the works to be executed. Work which,clause
A2,A,,,A2,,Measurements,(a) Work shall be measured net as fixed in position and each measurement shall be taken to,clause
A3,A,,,A3,,Description,(a) The order of stating dimensions in descriptions shall be consistent and generally in the,clause
A4,A,,,A4,,Sizes of pipes or the,"Where this document requires the sizes of pipes and tubes (measured internally) and bars, cables,",clause
A5,A,,,A5,,Quantities,"(a) Where the unit of billing is the metre, kilogram or litre quantities shall be billed to the",clause
A6,A,,,A6,,Provisional or prime,Where this document requires provisional or prime cost sums to be given in accordance with this,clause
A7,A,,,A7,,Work under water,"Work executed in or under water shall be so described stating whether canal, river or sea water and",clause
A8,A,,,A8,,Work in compressed,Work executed in compressed air shall be so described stating the pressure and the methods,clause
A9,A,,,A9,,Dayworks,(a) The term ’day work’ shall mean work for which the contractor is to be paid on the basis of,clause
A10,A,,,A10,,Departures from the,No departure shall be made from this Standard Method of Measurement except to meet the,clause
B1,B,,,B1,,Name of Parties,"The names and addresses of the employer, the Architect, the Engineers, and the Quantity Surveyors",clause
B2,B,,,B2,,Description of site,(a) The location of the site shall be described stating the mode of access. Attention shall be,clause
B3,B,,,B3,,Description of the,(a) A general description of the works shall be given,clause
B4,B,,,B4,,Contract particulars,(a) Particulars of the form and type of contract shall be given,clause
B5,B,,,B5,,Items for convenience,"For convenience in pricing, items for the following shall given where applicable unless they are",clause
B4,B,,,B4,,in pricing covered by the schedules given in accordance with Clause,hereof.,clause
B6,B,,,B6,,Obligations imposed,Any obligation or restriction that may be imposed on the contractor by the employer in respect of,clause
B7,B,,,B7,,Water for the works,Water for the works and temporary arrangements for storing and distributing shall be given as an,clause
B8,B,,,B8,,Lighting and power for,Lighting and power for the works and temporary arrangements for distribution and for lighting of,clause
B9,B,,,B9,,Contractor’s liability,(a) The contractor’s liability for risk of injury to persons and property and of damage to,clause
B4,B,,,B4,,accordance with Clause,hereof.,clause
B4,B,,,B4,,by the schedules given in accordance with Clause,hereof.,clause
B4,B,,,B4,,with Clause,hereof.,clause
B10,B,,,B10,,Employers Liability,Where the cost of insuring any liability of the employer is required to be included in the contract sum,clause
B11,B,,,B11,,Temporary works,Clearing away temporary works and making good after shall be deemed to be included,clause
B12,B,,,B12,,Temporary roads,"Temporary roads, tracks, hard-standings, crossings and the like shall be given as an item stating",clause
B13,B,,,B13,,Temporary buildings,"(a) Temporary sheds, offices, messrooms, sanitary accommodation, and other temporary",clause
B14,B,,,B14,,Temporary,Temporary telephone facilities on the site shall be given as an item.,clause
B15,B,,,B15,,Temporary screens,Temporary screens and the like shall be given as an item stating the area and any requirements,clause
B16,B,,,B16,,Temporary hoardings,"(a) Temporary fencing, hoardings, fans, planked footways, guard-rails gantries and the like as",clause
B17,B,,,B17,,General scaffolding,General scaffolding for the works shall be given as an item,clause
B18,B,,,B18,,Dayworks,"(a) The cost of labour in dayworks shall be given as sum; alternatively, a schedule of the",clause
B19,B,,,B19,,Works by Public,Works which may only be carried out by a local authority or a public undertaking (e.g.,clause
B20,B,,,B20,,Works by nominated,(a) Works which are required to be carried out by a nominated sub-contractor shall be,clause
B21,B,,,B21,,Goods from,(a) Goods and materials which are required to be obtained from a nominated supplier,clause
B22,B,,,B22,,Protection of the,Protection of the works shall be given as an item covering all sections of the works,clause
B23,B,,,B23,,Removing rubbish and,Removing rubbish and debris and cleaning the works internally and externally shall be given as an,clause
B24,B,,,B24,,Contingencies,Provision for contingencies shall be given as a provision sum as Clause A7 hereof.,clause
C1,C,,,C1,,(a) The location of demolitions and alterations,shall be given in the description of the items.,clause
C10,C,,,C10,,accordance with Clause,hereof.,clause
C2,C,,,C2,,Demolitions,"(a) Demolishing individual structures (or parts thereof) shall be given as items, except the",clause
C3,C,,,C3,,Alterations,Alteration work which would be most conveniently priced on the site shall generally be grouped,clause
C4,C,,,C4,,Cutting,Cutting openings in old structures shall be given as items stating the openings nominal finished size of,clause
C5,C,,,C5,,Blockings up,Blocking up openings in old structures shall be given as items openings stating the size of the,clause
C6,C,,,C6,,Pulling down other,"Pulling down walls, partitions, floors, roofs, staircases and parts of old structures shall be given as",clause
C7,C,,,C7,,Taking down fittings,Taking down fittings and fixtures (e.g. doors; windows; sanitary appliances; counters; cupboards),clause
C8,C,,,C8,,Refixing fittings an d,"Repairing, adapting and refixing old fittings and fixtures shall be given as items stating the size.",clause
C9,C,,,C9,,Temporary screens,Temporary screens and temporary roofs shall each be given separately in square metres or,clause
C10,C,,,C10,,Shoring,Timber shoring (other than that incidental to demolitions and alterations) shall be given in linear,clause
D1,D,,,D1,,(a) Any information available concerning the nature of the ground and strata,shall be given.,clause
D2,D,,,D2,,Site preparation,(a) Anti-termite treatment to sub-soil or filling shall be given in square generally metres,clause
D3,D,,,D3,,Preserving vegetable,Excavating vegetable soil which is to be preserved shall be given in square metres,clause
D4,D,,,D4,,Removing trees and,(a) Cutting down trees and grubbing up their roots shall be enumerated. Tree exceeding 600,clause
D5,D,,,D5,,Excavation generally,(a) The quantities given for excavating and subsequent disposal shall be deemed to be the,clause
D15,D,,,D15,,accordance with Clause,hereof (except as otherwise provided in Clause D11),clause
D6,D,,,D6,,Surface excavation,Excavating surfaces over 300 millimetres deep to reduce levels shall be given in cubic metres. Such,clause
D7,D,,,D7,,Cuttings,Excavating cuttings shall be given in cubic metres.,clause
D8,D,,,D8,,Basements,Excavating basements and the like shall be given in cubic metres stating the starting level and the,clause
D5,D,,,D5,,depth as Clause,(f) hereof. Existing voids shall be deducted.,clause
D9,D,,,D9,,Foundation trenches,Excavating trenches to receive foundations shall be given in cubic metres stating the starting level,clause
D5,D,,,D5,,and the depth as Clause,(f) hereof. Preliminary trenches for basement retaining walls which are,clause
D10,D,,,D10,,Pits,"Excavating pits to receive bases of stanchions, isolated piers and the like and grouped together shall",clause
D5,D,,,D5,,be given in cubic metres stating the starting level and the depth as Clause,(f) hereof. No,clause
D11,D,,,D11,,Pipe trenches and the,"Excavating trenches to receive service pipes, cables, kerbs and the like shall be given in linear metres",clause
D12,D,,,D12,,Breaking up concrete,"Breaking up concrete, reinforced concrete work and the like met with in excavation shall each be",clause
D13,D,,,D13,,Breaking up paving,"Breaking up surface concrete, reinforced surface concrete, paving tar macadam and the like on the",clause
D14,D,,,D14,,Existing conservancy,"Clearing out and removing contents of conservancy tanks, septic tanks and the like shall be",clause
D15,D,,,D15,,Disposal of excavated,(a) Multiple-handling of excavated materials and transporting about the site as necessary,clause
D16,D,,,D16,,Surface treatments,(a) Treating the surface of the ground or the surface of filling or the bottom of excavation,clause
D17,D,,,D17,,Soiling seeding,"Soiling, seeding, planting, fertilizing and turfing to surfaces shall each be given separately in",clause
D18,D,,,D18,,Disposal of water,(a) Keeping excavations free from water (i.e. all water except spring or running water) shall,clause
D19,D,,,D19,,Planking and strutting,Planking and strutting shall be deemed to mean providing everything requisite to uphold the sides of,clause
D20,D,,,D20,,Hardcore filling,(a) Hardcore filling shall be measured as equal to the void to be filled. Any thickness stated,clause
D16,D,,,D16,,(d) Treating the surface of the hardcore shall be given in accordance with Clause,(a) and,clause
E1,E,,,E1,,(a) Any information available concerning the nature of the ground and strata,shall be given,clause
E2,E,,,E2,,Wood or concrete,Designs for piles shall be deemed to be provided by the employer Piles required to be designed by,clause
E7,E,,,E7,,piles generally the contractor shall be given in accordance with Clause,hereof.,clause
E3,E,,,E3,,Wood piles,(a) Supplying wood piles shall be given in linear metres stating the nominal size. Those over,clause
E4,E,,,E4,,Cast concrete,(a) Supplying cast concrete piles shall be given in linear metres piles stating the nominal size,clause
F1,F,,,F1,,(a) Particulars of the following,shall be given:,clause
F2,F,,,F2,,(a) Plain in-situ concrete,shall be given under an appropriate heading.,clause
F4,F,,,F4,,Machines bases Beds,Machine bases shall be given in cubic metres,clause
F6,F,,,F6,,"Roads, foot-paths &","Roads, footpaths and pavings shall each be so described and given in accordance with the rules for",clause
F5,F,,,F5,,pavings beds in Clause,hereof.,clause
F7,F,,,F7,,"Floors, roofs and the","(a) Suspended floors, roofs and the like (measured over all bearings and grouped together)",clause
F8,F,,,F8,,Walls,(a) Measurements of walls shall be taken between attached piers or pilasters. The thickness,clause
F9,F,,,F9,,Casings to steelwork,"Casings to steel beams, lintels, stanchions and the like shall each be given separately in cubic metres.",clause
F10,F,,,F10,,Beams and Columns,"Beams, lintels, columns and the like shall each be given separately in cubic metres. Floor beams and",clause
F11,F,,,F11,,Steps and,"(a) Steps, staircases and strings (grouped together) shall be given staircases in cubic",clause
F12,F,,,F12,,Kerbs,Kerbs may be given in cubic metres or in linear metres stating the size,clause
F13,F,,,F13,,Finishes on to,Finishes (measured on the exposed face) which are cast on to cast the concrete by lining formwork,clause
F14,F,,,F14,,Labours on concrete,(a) Treating the surface of unset concrete over 300 millimetres thick (e.g. grading to cross-,clause
F15,F,,,F15,,Expansion joints in,Expansion joints in concrete where over 300 millimetres wide shall be given in square metres.,clause
F16,F,,,F16,,Bar rein-forcement,(a) Particulars of the following shall be given:-,clause
F17,F,,,F17,,Fabric reinforcement,(a) Fabric reinforcement shall be measured as to area covered but no allowance shall be,clause
F18,F,,,F18,,Labours on fabric rein,(a) Raking cutting and curved cutting on fabric reinforcement shall each be given separately,clause
F19,F,,,F19,,Formwork Generally,(a) Formwork shall be measured as the actual surfaces of the finished structure which require,clause
F20,F,,,F20,,Formwork to surfaces,(a) Formwork to surfaces (other than those mentioned in Clauses F21 to F23 hereof) shall be,clause
F21,F,,,F21,,Formwork to edges,(a) Formwork to edges shall be given in linear metres stating the width in stages of 75,clause
F22,F,,,F22,,Formwork to bands,"Formwork to projecting or sunk bands, cornices and the like (grouped together) shall be given in",clause
F23,F,,,F23,,Formwork to grooves,"(a) Formwork to throats, grooves, chases, rebates, chamfers over 50 millimetres wide,",clause
F24,F,,,F24,,Labours on formwork,(a) Raking cutting and curved cutting shall each be given separately in linear metres.,clause
F25,F,,,F25,,Precast units generally,(a) Precast units shall be given under an appropriate heading,clause
F26,F,,,F26,,Structural units,Structural units (e.g. stanchions; beams; purlins; trusses) shall each be enumerated separately,clause
F27,F,,,F27,,Steps and staircases,"Steps, landings, solid balustrade panels and the like shall each be enumerated separately stating the",clause
F28,F,,,F28,,Kerbs and edgings,"Kerbs, edgings and the like shall each be given separately in linear metres stating the size. Curved",clause
F29,F,,,F29,,"Shelves seats, duct","Shelves, divisions, seats, duct covers, sills, lintels, copings and the like shall each be fully described",clause
F30,F,,,F30,,Templates,"Templates (or padstones), bases to posts and the like shall each be and bases",clause
F31,F,,,F31,,Pier-caps and,"Pier-caps, chimney-caps and the like shall each be enumerated separately stating the size and the",clause
F32,F,,,F32,,Hollow block,Hollow block suspended construction and formwork in contact therewith only shall,clause
F33,F,,,F33,,"Floors, roofs and the","(a) Suspended floors, roofs and the like (measured over the ribs and bearings and grouped",clause
F7,F,,,F7,,like together) shall be given in square metres in accordance with Clause,hereof. Filling ends,clause
F34,F,,,F34,,Labours on hollow,Forming hips and valleys shall each be given separately in linear metres stating the thickness.,clause
F35,F,,,F35,,Fixing slips and metal,"Fixing-slips, metal clips and the like shall each be enumerated separately stating the method",clause
F36,F,,,F36,,Formwork,Formwork shall be given in accordance with clauses F19 to 24 hereof,clause
F37,F,,,F37,,Prestressed concrete,(a) Prestressed concrete work (Le. work where reinforcement is tensioned before or as the,clause
F38,F,,,F38,,Structural in-situ,(a) Structural in-situ members (e.g. beams; columns) shall be given in accordance with,clause
F10,F,,,F10,,members Clause,hereof.,clause
F39,F,,,F39,,"Cores, ducts and",(a) Forming and grouting or sealing the ducts or grooves shall be given in linear metres,clause
F40,F,,,F40,,Wires and cables,(a) Supplying steel wires or cables (measured between anchorages) shall be given in,clause
F41,F,,,F41,,Reinforcement,Reinforcement shall be in accordance with Clauses F16 to F18 hereof.,clause
